binary,zeros,class
c420600084103fffc4206000050000228410a077c4206000c4206000c4206000c420600005000000c400a000c420600005000000c400a000c420600084102001,67,sparc
0000c210a000c210a00003000000f8206000c410a0008528a0108538a010c4206000c6206000c4076000c420600005000000c408a000c4206000c4092000c420,67,sparc
00e7722212622262226672223bd23bd7226672261266226672261266226612617226126637d1622103e11220226135d21261126011510225111500e112226261,8,sh4
0000410e108602430d0602420c070800001c0000003c0b0000000000000700000000410e108602430d06420c07080000001c0000005c0b0000000000007e0000,82,x86_64
00008091000090910000909300008093000080910000909100009093000080930000809100009091000090930000809300001f921f921f921f921f921f921f92,64,avr
1c612de22631f78f017103d112600b000d6080001000000024000000224ffc7f12d11261122f09e400e501e610d00b4000e710d400e510d1106610d00b4000e7,45,sh4
a74800005820d13ea73800004050c00092fda000500010000deb5840f098a7280000989ff08407f4000000000000ffff0000000097c2b18c00000000d167ba49,60,s390
240400e443f9ff1f21000083b0000086200000e3b300001d260000a3b00000bd24000043b01104ff470000e3b00000e5200000e3b3000010220000e3b30000c6,63,alphaev56
0000004400448b0d8c0c8d0b8e0a8f09460ed001420d0b6ccfcecdcccb0c0f600000002c000010ec000000000000006400468b0d8c0c8d0b8e0a8f09440ed001,56,s390
3000a58f00000000262825022b28050021204000ba00000c000000000000033c00007190000000002138200221304000212840023800a427b300000c00000000,73,mipsel
00f8ffbd270400beaf21f0a0030000000021e8c0030400be8f0800bd270800e00300000000d8ffbd272400bfaf2000beaf21f0a0032800c4af2c00c5af3000c6,52,mipsel
ef5fef00c030930000209300002fef3fef3093000020930000e1e0f0e0f0930000e09300004091000050e0509300004093000070930000609300003093000020,69,avr
9923c02000990892a995c02000990892a0ffc020009908980ec02000a908c020009908910000a10000c020009908980dc020009908910000c020009908910000,59,xtensa
0000006400000000460e10479a024bda0e000000005eb71104ff47000061b000001022000062b01f04ff4700405b6b0000ba2700005ea70004ff470000bd2310,62,alphaev56
073c010006240800e28c0000053c000046ac3800628c00000000010042241c004428f8ff8014380062ac0000033c0c0062240c006c8c0000033ce0ffbd270400,55,mipsel
bf2f12978c9190e0909300008093000011968c9190e09093000080930000808190e090930000809300003396e217f30701f4e22ff32f4217530701f02e2f3f2f,42,avr
900100143c600000914900003863000080a8000880c8000490a9000038a02d1a90a90000a147000090c90000394a000180c8001088a8000c554a043e80880018,59,powerpc
88e090e0909300008093000087ef9fef90930000809300008fef9fef90930000809300001f921f921f921f921f921f921f921f9280e090e09f938f9300d08db7,40,avr
000030000000300000001000c02000a908a20901920902c02000a908c0200099089100009809c0200099089100009809c020009908910000c02000a809c02000,73,xtensa
fc2f02222e0008202e000c1d41fffe1d40fffc4a2efffc67260c2eff80fffe66080c2efffffffc6716102efffe49c0122efffc49c124004c4128002000600410,25,m68k
00002000000024000000d3485e2d22622221f7e222213fe222210bd222210bd400e50bd00b4000e600e0264f0b00090009002400000000000000180000001400,61,sh4
e500e081e51c209ce5000081e514e09ce5f801dce1006081e5b830cce1003081e5f062dce1005081e5fc32dce100e081e5f252dce1000081e5c8e09fe5002081,32,arm
40f40f3c6455ef250000183cffff0b24800032270000023c00004d8c00004224040051900500509000000c3cd40082260800438c0c00e88c0800568c0400a0ac,52,mipsel
ffde2300005eb700007da700405b6b0000ba270000bd2300003d24ff005f20000041b000005d24000042a0000041b000005d24000042a0000041b000005d2400,65,alphaev56
e5043081e5002081e5f4ffffea082093e50220e0e30350a0e13c819fe5002083e5007094e52c619fe51a0057e30d00000a0420a0e324119fe502008de0083098,36,arm
e8a2ffffff6685c0740d8b0500000000be00000000eb05be000000004489f189dabf00000000e847ffffff49894500488b0500000000c700000000004489e05b,58,x86_64
00143c0100103640005126a0008726340050ac0000023ceeff1324212820022120e000100006242c0042240c0033ae0400428c0000000c000000002138400000,58,mipsel
222110d2226222210fd22221f7e222210a9222210dd400e50dd00b4000e600e0264f0b0009009200bf000900040000002c00000020000000de3085ad00000000,57,sh4
08219fe50c10929508108285fb10a0e310209295fc209fe5001082e50310a0e3001082e5f0109fe5001082e5001093e5001082e5f610a0e3001082e5081093e5,37,arm
224f0ad202e30ad000e5226100e609d4ff71122208d2322208d33263322212220b40090000e0264f0b0009000000000000000000000000000000000004000000,64,sh4
017810011b0c070890010000140000001c000000000000002a010000007f0e1002ea0e082c01488b150000000075f54883ec084084f6c605000000000a8b0500,68,x86_64
1fe7224f722100e30cd100e50cd200e672210bd7321270670bd072212267215272212221322108d40b40090000e0264f0b000900090010000000000000000000,49,sh4
94debf0fbecdbf29833a834b835c836d837e838f839887a986ba86cb86dc86ed86fe860f87188ba984ba84cb84dc84ed84fe840f85188929813a814b815c816d,3,avr
221222122216d113660aa04876126772221157722208711033f88f3036038d33611363f3af18730ed400e50ed00b4000e600e0087f264f0b0009006c00000058,31,sh4
f36ee363047342235113e363cc736d13e36304733154326343631143058be363cc733d561fe33636018b51a00900e363cc733d533366e0761146078b2cd56363,10,sh4
667e24a5395cac850000246300011860fff9000320800006360000063603000630400006182b3c0200008c46000800063600000636030066302110c000033c03,56,mips
c020004804580441000059040c05410000524400060f0000810000c0200088088808910000b8090c190c0c80c993001b40008ca10018400089a137380292a000,58,xtensa
00246300088c6300043c040000ac4300003c0300008c63000427bdffe0ac430000000038213c0300000000302124840000ac600000afbf001cac400000ac4000,63,mips
00c02000a908c02000a809c02000a908c02000a819c02000a908c020009829a10000c020009908910000c020009908910000b909910000c020009908810000e0,67,xtensa
1f733b6363673d47736321551d5653686d483b2822621d5123671d4704a00900e36104711267115873618362136023610c7ee36ff66ef6680b000900862fe62f,14,sh4
108de20c20a0e30600a0e1feffffeb383094e5002094e5003093e510319fe510019fe5002083e5f820d4e1002083e5142094e5002083e51c20d4e51d10d4e501,32,arm
21255662212656622100e62752222114d272212062222113d22262222101e2222111d22262222111d23221226222210792222122210b40090000e0264f0b0009,17,sh4
ff2fe104b02de500b08de20cd04de208000be50c100be508301be5000053e30c0000ba0c301be51f0053e30900008a0221e0e30c301be55223a0e108301be503,42,arm
0e810000e9099808210000b8090c9c9802b0bc30909b20c02000b80ac02000a80a9902a8087c880c1297b80222a000290a810000a100000c02c02000a80ac020,53,xtensa
00003c04000027bdffe03c020000000038210000302124840000ac6000082403fff6ac400000afbf001cac4300000c000000000000008fbf001c0000102103e0,68,mips
e1103729011c611f613b211f611d615a410df116d323641df15a050b430900036211d1188403611c612921173829011c611362e3610871148503611d6117021a,14,sh4
84103fffc420600005000000c400a000c4206000c410e0008528a0108538a010c420600005000000c408a00092102000c42060009410200011000000b0102000,67,sparc
3cffff632400002591ff006330280043a0e0ffbd270300c63828004e90020008241c00bfaf24008d24000066adf1ffa52428004690240080ac28004490280044,40,mipsel
ac450000ac470000ac400000ac4600008c8500003c040000ad830004ad63000400003821240300010000302124840000a1430010ad000004ac4500000c000000,68,mips
63655c353b661f7653616d411366ffe43b6543615d416b2121d63b6363623c42e363047331543263236543666335288b2365436667350389136233611232208b,3,sh4
00008381948190930000809300001f921f921f921f921f921f921f921f9280e090e09f938f9300d00fb6f894debf0fbecdbf80e090e026960fb6f894debf0fbe,29,avr
00000000000000017a520004781a011b0d1e00200000001800000000000000c001000000440e10439a0202610ada0e00410b00000000000000dd241f04ff4700,77,alphaev56
000000000400000004e02de50320a0e348309fe5082083e50a0000eaff0051e30030a0130130a003763d83e33a3083e328c09fe50ce09ce50e3003e00c308ce5,48,arm
1083e52910d2e5ff1001e2001083e52a10d2e5ff1001e2001083e52c1092e5342092e5004083e5001083e5002083e50020a0e30030a0e3feffffeb0400a0e108,37,arm
46ac0000063c0c00c68c21380000000046ac00008490213000000026040003260400000044ac0400648c0c0000ad000044ac0800638c0000043c0000083c0000,68,mipsel
00440e10033f010e0800000000000089e9ba0100000089dee857ffffff66c1e80c0fb7c0890500000000c70500000000000000000fb705000000004883c4105b,67,x86_64
2ff92f13a212a2809100009091000001969093000080930000809100008b5f8093000080910000843104f400c08d859e8529ef34ebe82ff92f318320838c2f9d,41,avr
0d6043d11c308b2001882903a82a148ff75b8d6223643fd00b40236527001a0118322d628b222822038d8828a82a068f8828068d01e106a08a2103a001e101a0,23,sh4
637881270000814600009087000490070000394a0001914600002f8a0001419d00549061000881270000908700047f8350004fdce0427d2000265529fffe7d2b,49,powerpc
000893c9000093e900009089000090e9000090e9000091090000934900009369000091890000900900004cc63182480000018001003438600000832100147c08,66,powerpc
f66e0b000900ff7fe62ff87ff36e4362e361c8715e11e361e87123601e81e361e8711e8503611141208be361c8711e521fe116321a89e361e8711e850362e361,10,sh4
89819a812817390704f089819a810b8000c0880f991f0a9402f400c089819a810f900f900f900f90df91cf910895cf93df9300d000d0cdb7deb79a8389837c83,29,avr
2000c80bb809c02000c908c02000b9081caeb829c02000e908a80ac02000b908c02000a9080c1bc10000c02000b908c02000c908c02000b908c10000d1000081,59,xtensa
7f233f2400005d247d4a212000007d24000022b0f9ff5f2000003d24000041b000003d24000021a000003d24000021a400003d24000041a0000041b000002120,60,alphaev56
3c020000ac450000806b0001806a00028069000380680005240500033c040000a065000400003821240300030000302124840000ac4c0000ac4b0000ac4a0000,67,mips
4dda0e000000001d2600007da70200e2431104ff47000041b000005d24000042a00000102200005eb70200e243000041b000005d24000042a00200e243000041,64,alphaev56
5840800050401000a7580040505010005850d19a5840d1965820200058505000505010005840400050401000a7480001504010005840d1925850300050501000,59,s390
ee0fff1fec0ffd1f20e030e03283218301968230910504f0a981ba8180910000909100000091000010910000e0e0f0e0c280d380ed90fc908081880f990b21e0,44,avr
0000017a520004781a011b0d1e001800000018000000000000004800000000430e10469a0248da0e00000000ba2700005ea70004ff470000bd231000de230180,68,alphaev56
0088e800009001001438a0000054e7083c3863000080ca0004812600007d293a78912600003d20000038c000fc80ea000c90c9000090e9000080ea000880ca00,61,powerpc
5410506618215840b0a098bfb09407f4000000ff0000001f0707070790bff02c0d50a7faff9818bf18125030b0604210b0675810b0601211a74400145810b060,41,s390
3c100062900000000002004230100062a00000023c1800428c040000100000023c0000023c3000428c0000023c2c00448c00000000010083380100632c000002,72,mipsel
419a027eda0e000076c128190000632018003f200c0023b000003d2400004120080082a0000081a00400e44300003d24000081b0040082a00400e443000081b0,60,alphaev56
2800bd270800e00300000000d8ffbd272400bfaf2000beaf1c00b0af21f0a0032800c4af2c00c5af0000023c4400458c2800c48f0000000c0000000021804000,58,mipsel
0000ff00023201004238ff00423006004010000000002800c48f0000000c000000000300001000000000ff7f023cffff423421e8c0032400bf8f2000be8f1c00,67,mipsel
c30404ff47a15d8040f8ff3ff40530a040a13da040faff3ff400005d241a423f2472512120000022b000003d24000021a0000022b01104ff4700001d26000010,44,alphaev56
b8170004fa27bffc8928e018de08a005b32e6008ba16401cba13c01d872ea010fa2060008610c004c808a008fa08a009852920088410800384174002c4206000,37,sparc
017a5200017c0e011b0c0f600000001800000018000000000000006800468e0a8f09440ec80100005030f064d7031000f0645820504a58102000a71affff5010,61,s390
10394a0001810800002f8a0000810800009149000091090014409dff383c80000038c0000690c400003c60000090c4000038a0000090c4000038630000801f00,67,powerpc
650200000002750e1003ef010e08000000000000000000000000000001241f9b02000000f7ffff01241f9b02000000f7ffff01241f9b02000000f7ffff000000,72,x86_64
9093000080930000809100009091000090930000809300001f921f921f921f921f921f921f921f9280e090e09f938f9300d08db79eb70a960fb6f8949ebf0fbe,40,avr
34ffff6324000044acffff633003000424000043ac000044ac0000a58c0000043ce0ffbd27060003a521300000030008240000033c2138000000008424040068,56,mipsel
40fffc4a2efffc67260c2eff80fffe66080c2efffffffc6716102efffe49c0122efffc49c124004c41280020006004102efffe241f4e5e4e754e56fffc222e00,19,m68k
b9080c1bc02000b908c02000a80ac02000a908a10000c02000a908a10000a20a00a0a074c02000a908a2a7aac02000a908a10000c02000a908c02000a908c020,61,xtensa
e17a18403b0000000008d04de20030a0e304308de51c309fe5682093e504208de56c2093e5703083e2003082e50700a0e308d08de21eff2fe100000000feffff,41,arm
00621026ad220034ade000448e630040824a00308dc3002824630001adc3002895a300242463ffffa5a300248d04002c28830001006420210087202b01801821,39,mips
4282601c2202d281d2802dbcf23623d71ce85280600242807201b2806ce652827002b0826cf04281600e5280600242807402b4806cf452814a816ff212390000,25,m68k
fe7d4a1b78554a043e55431838554a801e7d4350507f8650002148fff34fdce0427cc0002654c6fffe7cc62a1468c600f43906ffff7cc643787cc6fe707cc620,16,powerpc
0324000043ac3b8f033c76ec6334000043ac0000033c1c0063900000043c001e0300031e0300000043ac2c45033c57796324000043ac0000033c1800638ce0ff,49,mipsel
10000000085040748020f42022a00c134722010c030b450c1c0c0b2d0b402c830012400043a1220a03001c400022a12044c03d0b403c93390a21000048022804,47,xtensa
000000017a520004781a011b0d1e001800000018000000000000001c01000000460e10459a027bda0e00000000c3b42301e143000024a00000c5a4ff073f20a1,65,alphaev56
0800e0c3040021a00000e7b7cdffff200100e1738707e148000022a00108e144000022b0000084a000003d240600e6431600f6430400e443000042a0000081b0,56,alphaev56
0000438c0000043cffff6324000043ac0000438ce0ffbd272130000021380000000084240000023c000043ac1c00bfaf0000000c000000001c00bf8f21100000,64,mipsel
c22092a01176891bc02000880ac02000890ac02000881e8088232d0c802d93c02000290a6c58210000826200910000c0200088190b88c020008919c020002819,47,xtensa
e09fd50c3091d5083091d5b030ded1001083c5b831c1d1e330a0e30040a0e3100091e580209fe5000090e57cc09fe5005090e56ce09fc5052002e0002080e505,41,arm
00a100000c080c5976890dc02000b80a9b881bbbc02000b90a910000c100008909910000d10000c0200089098100000c02c020008909c02000880aa10000c020,64,xtensa
23150000e40f003f2201001f2694d5102200007da700405b6b0000ba270000bd2300003d240000612a1300f3733200e07362913f2694d531221004ff4700007d,45,alphaev56
0080e4000490ea000090ca000088e8000890ea0000912a00008128000d912a000081280011912a0000a9280090912a000039200000912a00008928001c912a00,61,powerpc
5e4e754e5600002f032f02202e0008222e000c448140806c2e222e0010242e0014448240816c20203c7fffffff72ff242e001092ae00149182242e0008262e00,33,m68k
842847036128417b230ed018413b211222f8e112220b40090000e0264f0b00090009007000000000000000000000006c000000640000004c000000480000003c,67,sh4
c60010240700011000fffa0086202510e0000400000000ac44000024040007ac6400048cc30004240a000c000018213c04000024080003706a38022463000100,64,mips
e00300000000f8ffbd270400beaf21f0a0030800c4af0800c38f0080023c06006210000000000800c28f000000002310020002000010000000000800c28f21e8,70,mipsel
e90c5084e5ba50c4e1003082e5145084e5180084e5bc11c4e1ff00a0e30610a0e1feffffeb000051e3103094e50c6084150650a0112030a0e30160a0e398109f,33,arm
4300ff97c20098304200ff00621021304200ff004028213c02000024430001884400019864000300801021304200ff00a2001a004001f4000010103043ffff8f,52,mips
308de200308de59c309fe54228a0e1a710a0e3aefdffebf11ee0e3a4fdffeb000084e510c0a0e3110000ea0308a0e16c209fe50820d2e5822162e00212a0e100,31,arm
e50c1c81e1001083e5281092e5001083e5be12d2e1000083e5000083e5000083e5001083e5bc12d2e1ac009fe5001083e53410d2e5ff1001e2001083e53c1092,35,arm
23502010005820d1b258202000502010005820d1c25830200050301000583020045030100058302008503010005830200c503010005830201050301000582020,59,s390
005c000000102083e5142083e5183083e2010053e1f6ffff1a10402de9b8309fe50200a0e3b001c3e10310a0e31210c3e5602093e5602093e500c0a0e30cc083,38,arm
00000000430e10419a0252da0e00000000000000007da700405b6b0000ba270000bd2300003d24000041a000003d24000041b01104ff4700001d260000102200,69,alphaev56
9e0de15420d19aa71800ff17a154a0d19aa7180001a7ae00f8a7c40004a71800005830d19659103000a7740006a73800b2a7f40004a7380000a71800011932a7,37,s390
838083e0910000f091000080819181892b01f080910000909100001092000010920000e0910000f091000080819181892b01f080910000909100001092000010,63,avr
00303074c020003906320500d10000c0200039063802a10000c02000390638122822c020003906c0200029062804c0200029062807c020002906c02000990622,58,xtensa
00e700007d24000063a4000003a3b803f8435814004300007da71904ff471800f8430040fb6ab903fb43b90d5940020020e7000046300000e1b300009d270000,52,alphaev56
00c410a0088528a0108530a010c4206000f6206000c40f2004c4206000c41720068528a0108538a010c4206000c41720088528a0108530a010c4206000052e3c,47,sparc
63ce488d0c494801ca8b14950000000089150000000083c001eb05b80000000083f8027ed783c60183fe027eeec70500000000feffffffbe00000000bf000000,55,x86_64
0031790000000000044cdf003c4e5e4e754e56ffd448e73f202449242e000816021d7c0001fff42d7c98a597fbfff51d7cfff8fff950eeffee70ff2d40ffef42,26,m68k
028728a018c20f60038328601084104003c20f60048328600882104002c40f600582108001c2212000921020009410200011000000400000009012200081c7e0,53,sparc
38630000910a00106d29ef3369299200912a00043d2000009107000080ea0008808a000c80aa000438e7ffff90ea000890c9000090c900003cc0000090890000,59,powerpc
a040c6206000c400a044c420600005000000c400a000c420600005000000c600a0008410a000c6206000c400a004b01020009210200094102000c42060001100,72,sparc
00600001303dbc91cb0af652807202b2806cf276ec23c300000000600001085280600242807201b2806cf476fa23c30000000018390000000012044881028100,50,m68k
000c894a00008149001039000001910a00008129000c912100082f890000409e0008912a0000394000003d200000994900003d2000003929000080e900048129,65,powerpc
0000fe2f1f04ff470000fe2f0000dd2600009d27000036a00000dca00600222800001d2507002228faff3f2300003d2410003e22000021a4040062280500a228,54,alphaev56
43ac1000ca8cffff83300800a3ac0000043c9975053c00004aacea51a52400000a3c213000002138000000008424000040ac040048ad000045ac000043ac0000,55,mipsel
50b000505010005040100058403000504010005840300450401000a74800004340300850401000433030095430d206503010005830200050301000a738000050,67,s390
01f420910000309100002115310501f400c082ee9fef909300008093000000c08ee190e0019701f400c0e0e0f0e088ec28278ae338273383228380e090e0a62f,44,avr
000028023d02210000c02000390221000028023d02210000c0200039020c022907060e000c022917860900310000480728172a24f022112a23c0200022120020,55,xtensa
000000003081e530009fe50020a0e320409ce90030a0e3004081e500408ce5005081e500e081e5feffffeb0400a0e17040bde81eff2fe1000000000000000000,58,arm
1135000000f820a00cf0274000c4010000c406c00080a0a009148000048400bfff10bffffcc426c000c40100008600ffffde26c000c421000010bfffeec62040,53,sparc
2e00081d40fffe4aae000c6d2c701fb0ae000c6d244281122efffe70004600242e000ce4a0b0816d104280102efffe222e000ce3a820006004102efffe241f4e,34,m68k
9fe5002083e5b020a0e3002083e50020a0e30030a0e320009fe5feffffeb0400a0e118d08de21040bde81eff2fe10000000000000000000000003d9effff0000,55,arm
301000a738ffff503010005830d226503010005830d21a5830300050301000a738000050301000a73800ff503010005830d21658303000503010005040100058,56,s390
07391728179612012817e6c20c3807281700024030209146000028071df03661007d01290739172817f6c20d380728170002403020918600000028071df03661,36,xtensa
000000410f95c083e2014108d074e931d285c00f95c289fe66c705000000000700c7050000000001000000d3fe39d60f9dc20fb6d26631150000000048833d00,53,x86_64
0000023c7d0003240000043ce0ffbd27000043ac21300000010003242138000000008424000040ac1c00bfaf000043ac0000000c000000001c00bf8f21100000,68,mipsel
000000f9ffffff00000000fcfffffff64d0000beabd4e8af007c0a38d70000020000000200000002000000082042e228a093e502a02ae028a083e50c6083e510,56,arm
0048ac246c063c744b083c6e0263246c1504246d150924dd8bc6348ee4083500004bac0000053c000043ac000043ac000043ac000046ac000048ac000046ac00,43,mipsel
a030f5a02841324801224802a24803810000a961c020002808c0200028081b8f8909a809e62a0246c9ff210000810000c020002802910000c020002908210000,49,xtensa
4589f04489e9ba00000000488d74240c4889c7e850feffff498904248b54240c488b0500000000803d000000006475088b0500000000eb5c8b0500000000488b,50,x86_64
2091e5003092e5013083e3003082e5faffffea00000000000000000000000000000000f7ffffff5b06ecc4f7ffffff5b06ecc4f7ffffff5b06ecc444000000ff,50,arm
c00180008048c1e82001d0c1f80fc1fa1f39d074068b0500000000b8ffffffff4883c4405b5d415cc34883ec08e8eafdffff8b05000000008905000000008b05,42,x86_64
40028200bfff821080018330601f8328600680a0c00116800003901020019010200090200008920f20ff40000000900a20ff80a2200014800039e407bffcc206,54,sparc
002a2cd2044a4a410d2a48120441461200f2437e003f2201001f2669e1102200007da700405b6b0000ba270000bd2331f60148a9253f240655212067961f267e,31,alphaev56
0000488b00488905000000008b0500000000c3b800000000eb0383c00183f8017ef80fb60500000000c1e80789c78b05000000008b1500000000400fbef639f2,66,x86_64
000922e520e5f46c76040000004000000094549dd4723612f73e2bda498f94549dd4723612f73e2bda498f94549dd4723612f73e2bda498f0001000000ffffff,27,mipsel
45f85dc3554889e589fa89f0668955fc668945f80fb745fc660faf45f85dc3554889e589fa89f0668955fc668945f866837df80074110fb745fcba0000000066,15,x86_64
009109000038a000009089000090e9000090890000810a0010a8e6000038c000006908000190e90000910a001080eb000490e90000a8eb000890e9000080eb00,73,powerpc
00143c6000007d4a23783863000080a9000480c9000888e9000c3d2000009149000090a9000038a0000090c9000038c0000090e900003ce000009148000088e7,65,powerpc
0000020000000200000002000000010000000100000001000000ffffffffc039c274210fb6c9d3e183f904740c812500000000b97b3153eb15833d0000000000,68,x86_64
41a01400e1b3000045a000009eb4000043a400005eb4000043a400005eb40c0041a01400e1b3000045a000009eb4000043a400005eb4000043a400005eb40c00,62,alphaev56
bfa0f027a044f227a048d307a0440300000082106000d100400093a24928d507a0480300000082106000d100400091a2892891a248a893a00128030000008210,50,sparc
4ebafe56508f2f032f062f052f032f084ebafe244fef00244879000000000280000000ff2f004ebafe00508f2a0820790000000020b900000000317900000000,56,m68k
1000181258202000a72a0001502010005810d0c6d503d0be1000a774ffeca7280000502010005820d0ce5840f0b098dff0ac07f4fffffffc0000000000000000,54,s390
087d234b78397f002083ebfffc7d615b784e8000209421ffe093e1001c7c3f0b78907f0008909f000c813f00082f890000409d002c813f000c2f890000409d00,40,powerpc
ff464030402f084ebaff1c42a74ebafcb20280000000ff4fef00147201b2806c1423fc0000e4a00000000042390000000070e360061039000000004e5e4e754e,49,m68k
00a000c020a00082007ffe80a07fe212bffffc8610a00005000000c600c000c220a00005000000c620a000c220a000921020009410200011000000b010200040,69,sparc
0f59c2f30f58c1f30f100d000000000f54c10f2e05000000007607f30f1045fceb0af30f1045fcf30f5845f85dc3554889e5f30f1145fcf30f114df8f30f104d,35,x86_64
008e0700200000302100402821260400200c000017000000003c03000024630028afa30010004038210280302100002821026020210c00000000000000ae4200,71,mips
0042240800448ce0ffbd270000033c0c00638c1c00bfaf080044ac0000043c0800428c2130000021380000000084240000023c000043ac0000000c000000001c,64,mipsel
3003e20030c2e504009fe51eff2fe100000000817e000010402de9efffffeb84309fe50020e0e3002083e5002083e50120a0e3002083e500c0a0e3110000ea8c,47,arm
e09093000080930000e0910000f0910000118210828de08093000084e590e09a8389838c2f9d2f019690930000809300002091000030910000246f3f62309300,54,avr
0310a0e10420a0e11c404be2180094e8010053e10230d4e0400000ba14404be2180094e8010053e30030d4e2120000aa1c404be2180094e8010053e30030d4e2,42,arm
222122212221fce2222169e222210ad400e50ad00b4000e600e0264f0b0009000900080000000c000000100000000000000030f6621104000000000000000000,70,sh4
0048000008392900012f890002409dfff83d20000039490000890900003d20000091090000810a000491090000390000f2910900003d0049f56108e646910900,62,powerpc
736117320d89e361f8711c8403611c62e361c8711e5123631d4333611c6105a00900e361f8711c8403611c615a410df11df15a00087ee36ff66e0b000900ff00,20,sh4
00a71efff758003000a7a40006a718fff9a7f40004a718fffa1710501030001812a71affffa711ffff1821a774ffe75810d16658201000a72a000150201000a7,32,s390
140046ac0000023c0800e00318004224c8ffbd273400bfaf3000b2af2c00b1af2800b0af0000113c200025962000a427c200000c000000002000b2970000103c,55,mipsel
e0d5e504c095e508e084e508c084e5080084e5081084e5082084e5083084e5086084e5b410d4e10020a0e30118a0e14118a0e10030a0e3d0009fe5081084e5fe,35,arm
8328601085306010c207a048833880011080000301000000c217a0448328601083306010b010000181e8000081c3e008010000009de3bfa082100018f227a048,50,sparc
66141000422430002925f6ff6915211020012000e28f040002970000e38dffff4224ffff4230040002a70400228f0100632421104a0000160200031602004011,44,mipsel
00648c0000258d0000023c000044ac0100a5380400632404006a8c000025ad19a0093cf8ff0324fbff0824083229250000043c00004aace0ffbd27000049ac21,47,mipsel
